datetime,branch,total_register,solar_register,mf,power_kw,power_factor,import_register,register_delta,consumption_kwh
2025-09-02 15:00:00,Branch A,0.310000002,0.0,160,,,0.310000002,0.17000000099999998,27.20000016
2025-09-02 15:20:00,Branch A,0.949999988,0.0,160,,,0.949999988,0.639999986,102.39999775999999
2025-09-02 15:45:00,Branch A,1.779999971,0.0,160,,,1.779999971,0.8299999830000001,132.79999728
2025-09-02 16:05:00,Branch A,2.450000048,0.0,160,,,2.450000048,0.6700000770000001,107.20001232000001
2025-09-02 17:05:00,Branch A,4.630000114,0.0,160,,,4.630000114,2.1800000660000003,348.80001056000003
2025-09-02 17:25:00,Branch A,5.380000114,0.0,160,,,5.380000114,0.75,120.0
2025-09-02 17:35:00,Branch A,5.71999979,0.0,160,,,5.71999979,0.3399996759999997,54.39994815999995
2025-09-02 17:55:00,Branch A,6.429999828,0.0,160,,,6.429999828,0.7100000379999996,113.60000607999993
2025-09-02 18:45:00,Branch A,8.369999886,0.0,160,,,8.369999886,1.9400000580000007,310.4000092800001
2025-09-02 19:20:00,Branch A,9.630000114,0.0,160,,,9.630000114,1.2600002279999991,201.60003647999986
2025-09-02 19:30:00,Branch A,9.949999809,0.0,160,,,9.949999809,0.3199996949999999,51.19995119999999
2025-09-02 20:00:00,Branch A,10.92000008,0.0,160,,,10.92000008,0.970000271,155.20004336
2025-09-03 12:55:00,Branch A,39.63999939,0.0,160,,,39.63999939,28.71999931,4595.1998896
2025-09-03 13:00:00,Branch A,39.75999832,0.0,160,,,39.75999832,0.11999893000000128,19.199828800000205
2025-09-03 13:10:00,Branch A,40.04999924,0.0,160,,,40.04999924,0.2900009199999971,46.40014719999954
2025-09-03 13:15:00,Branch A,40.34999847,0.0,160,1.866000056,0.85799998,40.34999847,0.2999992300000045,47.99987680000072
2025-09-03 13:25:00,Branch A,40.59999847,0.0,160,1.771999955,0.869000018,40.59999847,0.25,40.0
2025-09-03 13:30:00,Branch A,40.70000076,0.0,160,1.524999976,0.824000001,40.70000076,0.10000228999999905,16.000366399999848
2025-09-03 13:35:00,Branch A,40.84000015,0.0,160,1.820000052,0.871999979,40.84000015,0.13999938999999983,22.399902399999974
2025-09-03 13:40:00,Branch A,41.0,0.0,160,1.870000005,0.885999978,41.0,0.1599998499999984,25.599975999999742
2025-09-03 13:45:00,Branch A,41.11999893,0.0,160,1.416000009,0.833000004,41.11999893,0.11999893000000128,19.199828800000205
2025-09-03 13:50:00,Branch A,41.22000122,0.0,160,1.549999952,0.81099999,41.22000122,0.10000228999999905,16.000366399999848
2025-09-03 14:50:00,Branch A,43.02000046,0.0,160,1.590000033,0.843999982,43.02000046,1.7999992399999982,287.9998783999997
2025-09-03 15:00:00,Branch A,43.25,0.0,160,1.796000004,0.880999982,43.25,0.22999954000000145,36.79992640000023
2025-09-03 17:25:00,Branch A,47.90000153,0.0,160,1.875,0.879999995,47.90000153,4.650001529999997,744.0002447999996
2025-09-03 17:30:00,Branch A,48.06000137,0.0,160,1.886000037,0.893000007,48.06000137,0.15999984000000467,25.599974400000747
2025-09-03 17:35:00,Branch A,48.22999954,0.0,160,2.072999954,0.887000024,48.22999954,0.1699981699999995,27.19970719999992
2025-09-03 17:40:00,Branch A,48.38999939,0.0,160,2.006999969,0.888000011,48.38999939,0.1599998499999984,25.599975999999742
2025-09-03 17:50:00,Branch A,48.70999908,0.0,160,1.988000035,0.888999999,48.70999908,0.31999969000000306,51.19995040000049
2025-09-03 17:55:00,Branch A,48.86000061,0.0,160,1.980999947,0.887000024,48.86000061,0.15000152999999727,24.000244799999564
2025-09-03 18:00:00,Branch A,49.02999878,0.0,160,1.838000059,0.890999973,49.02999878,0.1699981699999995,27.19970719999992
2025-09-03 18:05:00,Branch A,49.16999817,0.0,160,1.771999955,0.882000029,49.16999817,0.13999938999999983,22.399902399999974
2025-09-03 18:10:00,Branch A,49.31999969,0.0,160,1.633000016,0.870999992,49.31999969,0.15000152000000355,24.00024320000057
2025-09-03 18:15:00,Branch A,49.47999954,0.0,160,1.850000024,0.88499999,49.47999954,0.1599998499999984,25.599975999999742
2025-09-03 18:20:00,Branch A,49.63999939,0.0,160,1.88499999,0.890999973,49.63999939,0.1599998499999984,25.599975999999742
2025-09-03 18:25:00,Branch A,49.79000092,0.0,160,1.888000011,0.893000007,49.79000092,0.15000152999999727,24.000244799999564
2025-09-03 18:30:00,Branch A,49.95999908,0.0,160,1.968000054,0.901000023,49.95999908,0.16999816000000578,27.199705600000925
2025-09-03 18:35:00,Branch A,50.11999893,0.0,160,1.883000016,0.896000028,50.11999893,0.1599998499999984,25.599975999999742
2025-09-03 18:40:00,Branch A,50.29000092,0.0,160,2.055999994,0.904999971,50.29000092,0.17000198999999583,27.200318399999333
2025-09-03 18:45:00,Branch A,50.45000076,0.0,160,1.860999942,0.901000023,50.45000076,0.15999984000000467,25.599974400000747
2025-09-03 18:50:00,Branch A,50.61000061,0.0,160,2.138000011,0.910000026,50.61000061,0.1599998499999984,25.599975999999742
2025-09-03 18:55:00,Branch A,50.79000092,0.0,160,1.978000045,0.899999976,50.79000092,0.18000030999999694,28.80004959999951
2025-09-03 19:00:00,Branch A,50.97000122,0.0,160,2.121000051,0.901000023,50.97000122,0.18000030000000322,28.800048000000515
2025-09-03 19:05:00,Branch A,51.13999939,0.0,160,1.848999977,0.896000028,51.13999939,0.1699981699999995,27.19970719999992
2025-09-03 19:10:00,Branch A,51.29999924,0.0,160,2.03399992,0.90200001,51.29999924,0.1599998499999984,25.599975999999742
2025-09-03 19:15:00,Branch A,51.47999954,0.0,160,2.082000017,0.893999994,51.47999954,0.18000030000000322,28.800048000000515
2025-09-03 19:20:00,Branch A,51.63999939,0.0,160,2.194000006,0.896000028,51.63999939,0.1599998499999984,25.599975999999742
2025-09-03 19:25:00,Branch A,51.79999924,0.0,160,1.930999994,0.89200002,51.79999924,0.1599998499999984,25.599975999999742
2025-09-03 19:45:00,Branch A,52.47000122,0.0,160,2.046000004,0.864000022,52.47000122,0.6700019800000021,107.20031680000034
2025-09-03 19:50:00,Branch A,52.65000153,0.0,160,1.986999989,0.878000021,52.65000153,0.18000030999999694,28.80004959999951
2025-09-03 19:55:00,Branch A,52.81000137,0.0,160,1.832999945,0.874000013,52.81000137,0.15999984000000467,25.599974400000747
2025-09-03 20:00:00,Branch A,52.97999954,0.0,160,1.968000054,0.869000018,52.97999954,0.1699981699999995,27.19970719999992
2025-09-03 20:05:00,Branch A,53.13999939,0.0,160,2.088999987,0.876999974,53.13999939,0.1599998499999984,25.599975999999742
2025-09-03 20:10:00,Branch A,53.29999924,0.0,160,2.04399991,0.880999982,53.29999924,0.1599998499999984,25.599975999999742
2025-09-03 20:15:00,Branch A,53.45999908,0.0,160,1.967000008,0.867999971,53.45999908,0.15999984000000467,25.599974400000747
