date,total_kwh,avg_kwh_per_slot,peak_kwh,avg_power_kw,connectivity_slots,total_slots,gap_pct,day_quality
2025-09-02,2742.682303463529,76.18561954065359,107.20001232,,15,36,41.67,poor
2025-09-03,6852.51779397647,71.3803936872549,136.00036639999985,1.8814888887666668,61,96,63.54,poor
2025-09-04,5992.466838266666,62.42152956527777,104.00024479999956,1.723614037515351,11,96,11.46,moderate
2025-09-05,6834.7328721333315,71.1951340847222,107.20092799999976,1.7844102525384617,12,96,12.5,moderate
2025-09-06,6761.599120000001,70.43332416666668,97.60009600000105,1.7782470604960783,11,96,11.46,moderate
2025-09-07,5504.001456000001,57.33334850000001,99.1992160000018,1.4276006954461806,0,96,0.0,good
2025-09-08,5881.599120000001,61.26665750000001,110.40040000000316,1.572620482253012,11,96,11.46,moderate
2025-09-09,6427.199711999997,66.94999699999997,87.99804799999947,1.6109520542465754,20,96,20.83,poor
2025-09-10,6353.59864,66.18331916666666,96.00097599999572,1.675895525119403,24,96,25.0,poor
2025-09-11,6294.404288000005,65.56671133333339,100.80078400000276,1.6407995481418918,21,96,21.88,poor
2025-09-12,6374.399423999994,66.39999399999994,86.40135999999984,1.598225148619883,39,96,40.62,poor
2025-09-13,6289.599600000001,65.51666250000001,89.59960000000137,1.5578028479410568,14,96,14.58,moderate
2025-09-14,5638.398447999998,58.733317166666644,87.99804799999947,1.5099662449367088,17,96,17.71,moderate
2025-09-15,6118.398432000013,63.733317000000135,86.40623999999661,1.6424154259776118,28,96,29.17,poor
2025-09-16,6881.203607999992,71.67920424999991,100.80078400000276,1.753178081004566,22,96,22.92,poor
2025-09-17,6462.800295999991,67.32083641666658,99.19921599999724,1.7150722216083334,27,96,28.12,poor
2025-09-18,7161.6015680000055,74.60001633333339,107.20703999999388,1.86045832715625,28,96,29.17,poor
2025-09-19,6873.593744000009,71.59993483333342,115.20508800000243,1.921811597905797,0,96,0.0,good
2025-09-20,7402.577587555548,77.11018320370363,108.79883199999313,1.9530844094978355,14,96,14.58,moderate
2025-09-21,6815.024096209156,70.98983433551204,110.40038400000412,1.7109135049578057,16,96,16.67,moderate
2025-09-22,6256.001836235294,65.16668579411764,94.40430399999968,1.729955132938034,12,96,12.5,moderate
2025-09-23,6233.603519999997,64.93336999999997,89.59961599999588,1.766302469425926,40,96,41.67,poor
2025-09-24,6558.3984319999945,68.31665033333327,91.37695288888912,1.6644567942592594,8,96,8.33,moderate
2025-09-25,5978.398432000004,62.27498366666671,100.80078400000276,1.595687500574074,19,96,19.79,moderate
2025-09-26,6620.06470133334,68.95900730555563,110.40038400000412,1.7197650587108435,11,96,11.46,moderate
2025-09-27,6921.527090666668,72.0992405277778,116.79688000000168,1.7613169019201877,22,96,22.92,poor
2025-09-28,6382.402399999992,66.48335833333324,111.99216000000888,1.6606407404129628,0,96,0.0,good
2025-09-29,7155.1952000000165,74.5332833333335,155.1953599999979,1.838833336049603,8,96,8.33,moderate
2025-09-30,6775.845094736819,70.58171973684186,95.99615999999514,1.7143442644043714,35,96,36.46,poor
2025-10-01,7014.116923040954,73.06371794834327,91.12748363636372,1.7247958312583331,55,96,57.29,poor
2025-10-02,7042.049822222204,73.35468564814796,126.4062399999966,1.8488560619368686,26,96,27.08,poor
2025-10-03,6495.996000000014,67.66662500000014,108.80863999998836,1.6960995912560977,6,96,6.25,moderate
2025-10-04,6860.800799999997,71.46667499999997,113.5937600000034,1.8440627432333332,6,96,6.25,moderate
2025-10-05,2014.3945600000006,20.983276666666672,84.80464000000211,0.8885655771420765,33,96,34.38,poor
2025-10-06,5385.605439999999,56.10005666666666,88.00783999999112,1.4317311791962364,34,96,35.42,poor
2025-10-07,5683.113642105271,59.19910043859657,81.6015999999945,1.4503128180025642,30,96,31.25,poor
2025-10-08,5798.487957894724,60.40091622807004,97.61727999997674,1.3999240236985295,27,96,28.12,poor
2025-10-09,6086.406239999997,63.40006499999996,100.80079999999724,1.6133025676384616,30,96,31.25,poor
2025-10-10,5913.593760000003,61.59993500000004,108.80863999998836,1.5555724616231885,0,96,0.0,good
2025-10-11,5393.593760000003,56.183268333333366,88.00783999999112,1.429788134042373,37,96,38.54,poor
2025-10-12,3712.011679999996,38.666788333333294,99.19920000000276,1.0077041163539326,7,96,7.29,moderate
2025-10-13,5427.191140000009,56.53324104166676,110.39056000001436,1.4201037057981483,3,96,3.12,good
2025-10-14,6456.01205999998,67.2501256249998,107.20703999999388,1.6702205898627451,23,96,23.96,poor
2025-10-15,6062.382720000023,63.14982000000024,86.40623999999661,1.4446293114856321,35,96,36.46,poor
2025-10-16,6123.203199999989,63.78336666666655,118.39840000000548,1.4841038942965368,19,96,19.79,moderate
2025-10-17,6208.535093333339,64.67224055555562,116.796800000011,1.676601263778481,7,96,7.29,moderate
2025-10-18,4637.871146666657,48.31115777777768,99.19920000000276,1.6538904695142858,26,96,27.08,poor
2025-10-19,4013.408960000004,41.80634333333337,89.60943999998563,1.049831520713768,4,96,4.17,good
2025-10-20,5647.391839999993,58.82699833333326,116.7969599999924,1.4941843113764706,8,96,8.33,moderate
2025-10-21,5910.390560000014,61.566568333333485,108.80863999998836,1.5196647709393938,0,96,0.0,good
2025-10-22,5794.084031999992,60.35504199999991,102.40239999999176,1.5185124971500001,7,96,7.29,moderate
2025-10-23,5810.7206080000105,60.528339666666774,129.60928000000422,1.5763798411879846,10,96,10.42,moderate
2025-10-24,5752.011839999977,59.916789999999764,128.00783999999112,1.494867882953252,12,96,12.5,moderate
2025-10-25,5695.996000000014,59.33329166666681,129.60928000000422,1.5532965363290043,15,96,15.62,moderate
2025-10-26,4406.3867200000095,45.899861666666766,99.19920000000276,1.1702054237751938,9,96,9.38,moderate
