date,total_kwh,peak_kwh,avg_power_kw,connectivity_slots,total_slots,gap_pct,day_quality
2025-09-02,2788.7132875720195,31.04000092800001,,94,108,87.04,poor
2025-09-03,6830.48644346798,47.99987680000072,1.884848099708861,201,288,69.79,poor
2025-09-04,6018.422143135134,48.00048800000013,1.7438418637395348,36,288,12.5,moderate
2025-09-05,6807.177837664867,51.199951999999485,1.771064215853211,56,288,19.44,moderate
2025-09-06,6764.799791999999,35.20019199999979,1.780000001192623,35,288,12.15,moderate
2025-09-07,5502.399903999999,35.20019199999979,1.4316666682703703,3,288,1.04,good
2025-09-08,5880.0,52.80030400000214,1.5659401720299144,40,288,13.89,moderate
2025-09-09,6432.0019520000005,33.59863199999836,1.610538460875,74,288,25.69,poor
2025-09-10,6348.798832000002,36.000976000000264,1.6821564285921788,98,288,34.03,poor
2025-09-11,6289.599615999996,35.99853599999733,1.6681589722256411,73,288,25.35,poor
2025-09-12,6379.199216000006,28.79883200000222,1.58956953705298,130,288,45.14,poor
2025-09-13,6292.802735999994,40.0,1.5575381385805085,46,288,15.97,moderate
2025-09-14,5633.598624000006,46.40135999999984,1.5151883409237668,58,288,20.14,poor
2025-09-15,6120.0,32.00195200000053,1.6500486522108107,95,288,32.99,poor
2025-09-16,6862.031252923074,36.00097600000481,1.7512574248910893,68,288,23.61,poor
2025-09-17,6481.166995076916,33.593760000003385,1.7161346147051284,105,288,36.46,poor
2025-09-18,7167.202152000009,41.601567999996405,1.8581046451802328,91,288,31.6,poor
2025-09-19,6873.603519999997,36.00097599999572,1.923715956455253,2,288,0.69,good
2025-09-20,7446.678637714284,38.40820800000074,1.9534460037511738,64,288,22.22,poor
2025-09-21,6788.023883516488,36.80175999999847,1.6955733963486237,55,288,19.1,moderate
2025-09-22,6234.096294769227,36.79688000000169,1.74770531847343,46,288,15.97,moderate
2025-09-23,6233.593760000003,33.603519999996934,1.7896573436013985,126,288,43.75,poor
2025-09-24,6559.759611897429,31.992176000003383,1.6674065469859811,60,288,20.83,poor
2025-09-25,5950.640772102576,33.603519999996934,1.6018052650052632,80,288,27.78,poor
2025-09-26,6648.312990222221,35.20507200000793,1.7171502123519313,45,288,15.62,moderate
2025-09-27,6916.481905777782,38.398400000005495,1.762583333390625,86,288,29.86,poor
2025-09-28,6387.207039999994,33.593760000003385,1.6497991793606557,22,288,7.64,moderate
2025-09-29,7161.6015999999945,38.398400000005495,1.8318513534954957,51,288,17.71,moderate
2025-09-30,6770.136746666662,33.61327999999048,1.708585799816568,109,288,37.85,poor
2025-10-01,7049.68808190478,35.19535999999789,1.7119278330206185,180,288,62.5,poor
2025-10-02,7010.565731428573,41.601599999994505,1.8439828606514286,95,288,32.99,poor
2025-10-03,6494.414079999988,38.398400000005495,1.6872935298457712,54,288,18.75,moderate
2025-10-04,6862.402399999992,38.398400000005495,1.8547927456010362,37,288,12.85,moderate
2025-10-05,1996.796800000011,30.41008000000147,0.8621250021625,2,288,0.69,good
2025-10-06,5398.398559999987,33.61327999999048,1.43204374463125,109,288,37.85,poor
2025-10-07,5694.559393103469,28.80863999998837,1.4588799961333332,106,288,36.81,poor
2025-10-08,5787.042046896544,36.79680000001099,1.4162781487814569,90,288,31.25,poor
2025-10-09,6086.3867200000095,35.19535999999789,1.62213461899359,98,288,34.03,poor
2025-10-10,5913.6132799999905,35.20511999999144,1.5670209173054392,18,288,6.25,moderate
2025-10-11,5388.789120000001,31.20119999999588,1.459333331468085,114,288,39.58,poor
2025-10-12,3702.4023999999918,33.06640000000092,1.0078888859848485,5,288,1.74,good
2025-10-13,5464.001018775521,40.0,1.445917051640553,23,288,7.99,moderate
2025-10-14,6425.608261224484,40.0,1.6445620932810456,96,288,33.33,poor
2025-10-15,6068.78912,32.00199999999313,1.4531138218861788,120,288,41.67,poor
2025-10-16,6120.0,47.20703999999386,1.4986174474295302,67,288,23.26,poor
2025-10-17,6212.414579999986,46.406239999996615,1.7168106482603551,61,288,21.18,poor
2025-10-18,4633.991660000011,38.398400000005495,1.6899873357531647,2,288,0.69,good
2025-10-19,4016.1677894736818,34.404319999994186,1.0329850737014925,26,288,9.03,moderate
2025-10-20,5646.2346105263105,44.80471999999281,1.4619393901636364,46,288,15.97,moderate
2025-10-21,5907.19720000001,45.60551999999006,1.5128101242468355,46,288,15.97,moderate
2025-10-22,5797.209267096773,38.3985599999869,1.5213739094869565,71,288,24.65,poor
2025-10-23,5807.585612903235,49.609439999985625,1.5863776178181819,45,288,15.62,moderate
2025-10-24,5750.410239999983,46.38672000000952,1.4908536556178862,61,288,21.18,poor
2025-10-25,5702.402320000001,44.78512000001501,1.5742352937794117,56,288,19.44,moderate
2025-10-26,4400.0,36.00583999999799,1.1802662702840236,39,288,13.54,moderate
2025-10-27,5859.199200000003,36.79688000000169,1.4625730306629214,125,288,43.4,poor
