shift_date,shift,total_kwh,avg_power_kw,connectivity_slots,total_slots,gap_pct,day_quality
2026-06-01,Shift A,136.03751477387655,0.1142352948235294,0,96,0.0,good
2026-06-01,Shift B,606.4041554668802,0.5228275829310345,2,96,2.08,good
2026-06-01,Shift C,731.9791733332386,0.5763571453928572,6,96,6.25,moderate
2026-06-02,Shift A,108.6793660269177,-0.0333181834090909,0,96,0.0,good
2026-06-02,Shift B,655.4334029334132,0.57493750365625,3,96,3.12,good
2026-06-02,Shift C,401.56240000011167,0.5176315747368421,0,96,0.0,good
2026-06-03,Shift A,150.35488136054482,0.0982499984166666,0,96,0.0,good
2026-06-03,Shift B,590.0359972000297,0.4657857109642856,5,96,5.21,moderate
2026-06-03,Shift C,693.5156799999822,0.5802499987499999,0,96,0.0,good
2026-06-04,Shift A,183.9896304000285,0.0805416660416666,0,96,0.0,good
2026-06-04,Shift B,216.3228160000872,0.4663999996,3,96,3.12,good
2026-06-04,Shift C,689.8230506666392,0.5467692304230769,4,96,4.17,good
2026-06-05,Shift A,67.18351093344002,-0.0943000047,0,96,0.0,good
2026-06-05,Shift B,612.8156063996721,0.5179629645925926,4,96,4.17,good
2026-06-05,Shift C,723.203199999989,0.5670689683103448,0,96,0.0,good
2026-06-06,Shift A,129.58726400014712,0.0125769215384615,0,96,0.0,good
2026-06-06,Shift B,753.5937600000761,0.6365909079545454,8,96,8.33,moderate
2026-06-06,Shift C,808.0098778947171,0.6300833275833334,3,96,3.12,good
2026-06-07,Shift A,270.39945010540816,0.2041538463846154,0,96,0.0,good
2026-06-07,Shift B,806.4844799997809,0.6399166644166666,6,96,6.25,moderate
2026-06-07,Shift C,869.7916266667501,0.6741724055517241,17,96,17.71,moderate
2026-06-08,Shift A,806.4930204444811,0.5088333338888889,40,96,41.67,poor
2026-06-08,Shift B,1882.100739555595,1.3299999888181817,85,96,88.54,poor
2026-06-08,Shift C,1199.479146666611,0.9738965527931036,59,96,61.46,poor
2026-06-09,Shift A,1650.104106666598,1.2444838631290325,59,96,61.46,poor
2026-06-09,Shift B,1778.6980266668252,1.541321435142857,48,96,50.0,poor
2026-06-09,Shift C,1302.2916266666532,1.0664285741071429,59,96,61.46,poor
2026-06-10,Shift A,1600.6968790802794,1.1378499955,76,96,79.17,poor
2026-06-10,Shift B,1763.1573075863455,1.6819999971052633,57,96,59.38,poor
2026-06-10,Shift C,1170.034719999983,1.1280869686086956,47,96,48.96,poor
2026-06-11,Shift A,1443.3907815384798,1.4188571316190477,51,96,53.12,poor
2026-06-11,Shift B,879.7151011280677,1.756333337888889,30,96,31.25,poor
2026-06-11,Shift C,1049.2030773335184,1.0016428615714286,22,96,22.92,poor
2026-06-12,Shift A,1630.3750400000135,1.2894054038918918,35,96,36.46,poor
2026-06-12,Shift B,1709.5457767163518,1.7821199989999998,46,96,47.92,poor
2026-06-12,Shift C,583.2041432836211,0.999642849,16,96,16.67,moderate
2026-06-13,Shift A,1446.406399999978,1.2645000016785717,55,96,57.29,poor
2026-06-13,Shift B,2004.843680000049,1.635105253736842,31,96,32.29,poor
2026-06-13,Shift C,1923.2812799999367,1.4839333296,56,96,58.33,poor
2026-06-14,Shift A,754.3749599999865,0.6098387058709677,14,96,14.58,moderate
2026-06-14,Shift B,1117.500080000027,0.8522941215882354,21,96,21.88,poor
2026-06-14,Shift C,752.5520533332989,0.9212941105882352,25,96,26.04,poor
2026-06-15,Shift A,1360.0988693333347,1.276055557888889,52,96,54.17,poor
2026-06-15,Shift B,1828.755210666588,1.6122258074838711,32,96,33.33,poor
2026-06-15,Shift C,1571.8527695239754,1.2603999970666666,57,96,59.38,poor
2026-06-16,Shift A,1371.5473019424826,0.9901891851351352,40,96,41.67,poor
2026-06-16,Shift B,2363.2811200001743,1.849500020305556,44,96,45.83,poor
2026-06-16,Shift C,1590.885493333238,1.2568157943421052,36,96,37.5,poor
2026-06-17,Shift A,1286.9791466666115,1.00265625665625,53,96,55.21,poor
2026-06-17,Shift B,2334.374986666662,1.7930999954666669,64,96,66.67,poor
2026-06-17,Shift C,1557.8645866667891,1.2503333132333334,66,96,68.75,poor
2026-06-18,Shift A,1147.1875733331158,0.98714285875,38,96,39.58,poor
2026-06-18,Shift B,1984.9780238598173,1.4872222178333334,66,96,68.75,poor
2026-06-18,Shift C,1264.605282806937,1.51191999912,28,96,29.17,poor
2026-06-19,Shift A,963.186777454658,0.90956000996,29,96,30.21,poor
2026-06-19,Shift B,1857.150793212279,1.79079999208,55,96,57.29,poor
2026-06-19,Shift C,1507.1353066667025,1.1740434792173913,72,96,75.0,poor
2026-06-20,Shift A,728.0208533331946,0.7817407432592591,15,96,15.62,moderate
2026-06-20,Shift B,1641.5625600001658,1.502846150423077,50,96,52.08,poor
2026-06-20,Shift C,1782.4478933332528,1.3839999895,66,96,68.75,poor
2026-06-21,Shift A,428.5296996508632,0.3863103451724138,11,96,11.46,moderate
2026-06-21,Shift B,565.6891825100853,0.6728823534705883,0,96,0.0,good
2026-06-21,Shift C,777.9126287718649,0.8861666669583333,24,96,25.0,poor
2026-06-22,Shift A,916.8811797336092,0.663218749125,37,96,38.54,poor
2026-06-22,Shift B,1809.0625599998748,1.5373571398214287,43,96,44.79,poor
2026-06-22,Shift C,1616.4582400000654,1.2511724151034485,65,96,67.71,poor
