datetime,branch,register,mf,power_kw,power_factor,consumption_kwh,gap_minutes,status,hour,day_of_week,month,date,is_weekend
2025-09-02 15:00:00,Branch A,0.310000002,160.0,,,27.20000016,,normal,15,1,9,2025-09-02,0
2025-09-02 15:15:00,Branch A,0.949999988,160.0,,,102.39999776,20.0,normal,15,1,9,2025-09-02,0
2025-09-02 15:30:00,Branch A,,160.0,,,66.39999864,,normal,15,1,9,2025-09-02,0
2025-09-02 15:45:00,Branch A,1.779999971,160.0,,,66.39999864,25.0,normal,15,1,9,2025-09-02,0
2025-09-02 16:00:00,Branch A,2.450000048,160.0,,,107.20001232,20.0,normal,16,1,9,2025-09-02,0
2025-09-02 16:15:00,Branch A,,160.0,,,87.20000264000001,,normal,16,1,9,2025-09-02,0
2025-09-02 16:30:00,Branch A,,160.0,,,87.20000264000001,,normal,16,1,9,2025-09-02,0
2025-09-02 16:45:00,Branch A,,160.0,,,87.20000264000001,,normal,16,1,9,2025-09-02,0
2025-09-02 17:00:00,Branch A,4.630000114,160.0,,,87.20000264000001,60.0,normal,17,1,9,2025-09-02,0
2025-09-02 17:15:00,Branch A,,160.0,,,87.19997407999998,,normal,17,1,9,2025-09-02,0
2025-09-02 17:30:00,Branch A,5.549999952,160.0,,,87.19997407999998,20.0,normal,17,1,9,2025-09-02,0
2025-09-02 17:45:00,Branch A,,160.0,,,56.80000303999996,,normal,17,1,9,2025-09-02,0
2025-09-02 18:00:00,Branch A,6.429999828,160.0,,,56.80000303999996,20.0,normal,18,1,9,2025-09-02,0
2025-09-02 18:15:00,Branch A,,160.0,,,103.46666976000004,,normal,18,1,9,2025-09-02,0
2025-09-02 18:30:00,Branch A,,160.0,,,103.46666976000004,,normal,18,1,9,2025-09-02,0
2025-09-02 18:45:00,Branch A,8.369999886,160.0,,,103.46666976000004,50.0,normal,18,1,9,2025-09-02,0
2025-09-02 19:00:00,Branch A,,160.0,,,100.80001823999991,,normal,19,1,9,2025-09-02,0
2025-09-02 19:15:00,Branch A,9.630000114,160.0,,,100.80001823999991,35.0,normal,19,1,9,2025-09-02,0
2025-09-02 19:30:00,Branch A,9.949999809,160.0,,,51.19995119999999,10.0,normal,19,1,9,2025-09-02,0
2025-09-02 19:45:00,Branch A,,160.0,,,77.60002168,,normal,19,1,9,2025-09-02,0
2025-09-02 20:00:00,Branch A,10.92000008,160.0,,,77.60002168,30.0,normal,20,1,9,2025-09-02,0
2025-09-02 20:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,20,1,9,2025-09-02,0
2025-09-02 20:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,20,1,9,2025-09-02,0
2025-09-02 20:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,20,1,9,2025-09-02,0
2025-09-02 21:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,21,1,9,2025-09-02,0
2025-09-02 21:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,21,1,9,2025-09-02,0
2025-09-02 21:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,21,1,9,2025-09-02,0
2025-09-02 21:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,21,1,9,2025-09-02,0
2025-09-02 22:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,22,1,9,2025-09-02,0
2025-09-02 22:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,22,1,9,2025-09-02,0
2025-09-02 22:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,22,1,9,2025-09-02,0
2025-09-02 22:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,22,1,9,2025-09-02,0
2025-09-02 23:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,23,1,9,2025-09-02,0
2025-09-02 23:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,23,1,9,2025-09-02,0
2025-09-02 23:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,23,1,9,2025-09-02,0
2025-09-02 23:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,23,1,9,2025-09-02,0
2025-09-03 00:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,0,2,9,2025-09-03,0
2025-09-03 00:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,0,2,9,2025-09-03,0
2025-09-03 00:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,0,2,9,2025-09-03,0
2025-09-03 00:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,0,2,9,2025-09-03,0
2025-09-03 01:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,1,2,9,2025-09-03,0
2025-09-03 01:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,1,2,9,2025-09-03,0
2025-09-03 01:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,1,2,9,2025-09-03,0
2025-09-03 01:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,1,2,9,2025-09-03,0
2025-09-03 02:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,2,2,9,2025-09-03,0
2025-09-03 02:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,2,2,9,2025-09-03,0
2025-09-03 02:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,2,2,9,2025-09-03,0
2025-09-03 02:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,2,2,9,2025-09-03,0
2025-09-03 03:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,3,2,9,2025-09-03,0
2025-09-03 03:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,3,2,9,2025-09-03,0
2025-09-03 03:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,3,2,9,2025-09-03,0
2025-09-03 03:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,3,2,9,2025-09-03,0
2025-09-03 04:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,4,2,9,2025-09-03,0
2025-09-03 04:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,4,2,9,2025-09-03,0
2025-09-03 04:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,4,2,9,2025-09-03,0
2025-09-03 04:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,4,2,9,2025-09-03,0
2025-09-03 05:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,5,2,9,2025-09-03,0
2025-09-03 05:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,5,2,9,2025-09-03,0
2025-09-03 05:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,5,2,9,2025-09-03,0
2025-09-03 05:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,5,2,9,2025-09-03,0
2025-09-03 06:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,6,2,9,2025-09-03,0
2025-09-03 06:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,6,2,9,2025-09-03,0
2025-09-03 06:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,6,2,9,2025-09-03,0
2025-09-03 06:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,6,2,9,2025-09-03,0
2025-09-03 07:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,7,2,9,2025-09-03,0
2025-09-03 07:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,7,2,9,2025-09-03,0
2025-09-03 07:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,7,2,9,2025-09-03,0
2025-09-03 07:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,7,2,9,2025-09-03,0
2025-09-03 08:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,8,2,9,2025-09-03,0
2025-09-03 08:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,8,2,9,2025-09-03,0
2025-09-03 08:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,8,2,9,2025-09-03,0
2025-09-03 08:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,8,2,9,2025-09-03,0
2025-09-03 09:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,9,2,9,2025-09-03,0
2025-09-03 09:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,9,2,9,2025-09-03,0
2025-09-03 09:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,9,2,9,2025-09-03,0
2025-09-03 09:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,9,2,9,2025-09-03,0
2025-09-03 10:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,10,2,9,2025-09-03,0
2025-09-03 10:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,10,2,9,2025-09-03,0
2025-09-03 10:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,10,2,9,2025-09-03,0
2025-09-03 10:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,10,2,9,2025-09-03,0
2025-09-03 11:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,11,2,9,2025-09-03,0
2025-09-03 11:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,11,2,9,2025-09-03,0
2025-09-03 11:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,11,2,9,2025-09-03,0
2025-09-03 11:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,11,2,9,2025-09-03,0
2025-09-03 12:00:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,12,2,9,2025-09-03,0
2025-09-03 12:15:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,12,2,9,2025-09-03,0
2025-09-03 12:30:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,12,2,9,2025-09-03,0
2025-09-03 12:45:00,Branch A,,160.0,,,67.85881938823529,,connectivity_issue,12,2,9,2025-09-03,0
2025-09-03 13:00:00,Branch A,39.699998855,160.0,,,67.85881938823529,1015.0,normal,13,2,9,2025-09-03,0
2025-09-03 13:15:00,Branch A,40.199998855,160.0,1.866000056,0.85799998,94.40002400000026,10.0,normal,13,2,9,2025-09-03,0
2025-09-03 13:30:00,Branch A,40.71333312666667,160.0,1.7056666609999998,0.8549999993333334,78.40026879999982,10.0,normal,13,2,9,2025-09-03,0
2025-09-03 13:45:00,Branch A,41.11333338333333,160.0,1.6119999886666667,0.8433333239999999,60.8001711999998,5.0,normal,13,2,9,2025-09-03,0
2025-09-03 14:00:00,Branch A,,160.0,,,71.99996959999993,,normal,14,2,9,2025-09-03,0
2025-09-03 14:15:00,Branch A,,160.0,,,71.99996959999993,,normal,14,2,9,2025-09-03,0
2025-09-03 14:30:00,Branch A,,160.0,,,71.99996959999993,,normal,14,2,9,2025-09-03,0
2025-09-03 14:45:00,Branch A,43.02000046,160.0,1.590000033,0.843999982,71.99996959999993,60.0,normal,14,2,9,2025-09-03,0
2025-09-03 15:00:00,Branch A,43.25,160.0,1.796000004,0.880999982,36.79992640000023,10.0,normal,15,2,9,2025-09-03,0
2025-09-03 15:15:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,15,2,9,2025-09-03,0
2025-09-03 15:30:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,15,2,9,2025-09-03,0
2025-09-03 15:45:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,15,2,9,2025-09-03,0
2025-09-03 16:00:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,16,2,9,2025-09-03,0
2025-09-03 16:15:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,16,2,9,2025-09-03,0
2025-09-03 16:30:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,16,2,9,2025-09-03,0
2025-09-03 16:45:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,16,2,9,2025-09-03,0
2025-09-03 17:00:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,17,2,9,2025-09-03,0
2025-09-03 17:15:00,Branch A,,160.0,,,79.67999264000002,,connectivity_issue,17,2,9,2025-09-03,0
2025-09-03 17:30:00,Branch A,48.06333414666667,160.0,1.944666663666667,0.8866666753333333,79.67999264000002,145.0,normal,17,2,9,2025-09-03,0
2025-09-03 17:45:00,Branch A,48.549999235,160.0,1.997500002,0.888500005,76.79992640000023,10.0,normal,17,2,9,2025-09-03,0
2025-09-03 18:00:00,Branch A,49.019999186666666,160.0,1.8636666536666664,0.8866666753333333,73.59985439999946,5.0,normal,18,2,9,2025-09-03,0
2025-09-03 18:15:00,Branch A,49.47999954,160.0,1.7893333433333334,0.8823333183333334,75.20019520000005,5.0,normal,18,2,9,2025-09-03,0
2025-09-03 18:30:00,Branch A,49.95666631,160.0,1.913000027,0.896666686,76.79992640000023,5.0,normal,18,2,9,2025-09-03,0
2025-09-03 18:45:00,Branch A,50.45000076333333,160.0,2.0183333156666667,0.90533334,78.40026879999982,5.0,normal,18,2,9,2025-09-03,0
2025-09-03 19:00:00,Branch A,50.96666717666667,160.0,1.982666691,0.899000009,84.79980479999995,5.0,normal,19,2,9,2025-09-03,0
